120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
171	1.417	-693.3714	1210.54932	885.37463	-548.7381	715.10071	998.69025	-39.26485	3573.94678	1027.67981	303.24319	3969.81396	860.95264							654.10655														
172	1.425	-693.33661	1210.54089	885.36725	-548.29431	715.06604	998.51385	-41.15717	3574.12793	1030.32568	297.38644	3969.99072	862.4953							652.17944														
173	1.433	-693.3493	1210.46729	885.4364	-42.8546	3573.8269	1033.4325	294.88089	3972.3501	863.86938										988.23019														
174	1.442	-693.35071	1210.33813	885.47559	-547.24725	715.81586	997.95917	-44.50876	3573.3479	1036.90417	98.14243	3438.89355	781.53967	293.12009	3974.3667	864.7608				648.84195														
175	1.45	-693.37061	1210.43604	885.43854	-549.32172	713.63568	999.17438	-46.06178	3573.01514	1040.57031	96.84493	3438.83936	784.97974							647.30883														
176	1.458	-693.36108	1210.48425	885.39764	-547.75928	714.466	998.73511	-47.45212	3573.12476	1044.37195	95.82995	3439.2085	788.57422							645.90896														
177	1.467	-693.28619	1210.50659	885.33905	-550.27618	713.36768	999.61041	-48.42039	3572.75952	1048.40845										644.8658														
178	1.475	-693.32611	1210.42078	885.42731	-552.38654	712.03644	1000.69843	-49.56838	3571.8999	1052.96436	93.51814	3439.06958	796.86279							643.75773														
179	1.483	-693.34406	1210.34985	885.48041	-50.20129	3571.17163	1057.62109	93.09413	3438.74194	801.18689	-694.98407	604.17365	1077.52686							786.43819														
180	1.492	-693.36951	1210.4436	885.44635	-546.82233	715.64612	997.81329	-50.88446	3570.46826	1062.54907	92.8297	3438.47583	806.03748							642.48505														
181	1.5	-693.42346	1210.47864	885.38715	-550.53082	714.02057	999.94641	-51.33607	3569.3689	1067.6886	92.15201	3438.07104	810.80438							642.08739														
